City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
403,Constitucion,CL,71.76,clear sky,-35.3333,-72.4167,Hotel Boutique Las Azucenas
404,Pitimbu,BR,83.35,few clouds,-7.4706,-34.8086,Reserva do Abiaí
405,Coxim,BR,86.32,overcast clouds,-18.5067,-54.76,Hotel Avenida
406,Woodward,US,45.63,clear sky,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
407,Waverley,ZA,70.3,overcast clouds,-25.7023,28.2591,Aves Indigo Guesthouse
408,Cabatuan,PH,74.03,broken clouds,10.8794,122.486,MVC Transient Room
409,Norsup,VU,80.69,overcast clouds,-16.0667,167.3833,Nabelchel Bungalows
410,Anloga,GH,82.26,clear sky,5.7947,0.8973,Pin Drop Hotel
411,Tiarei,PF,82.42,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
413,Sancraiu,RO,32.9,overcast clouds,46.8333,22.9833,Tip-Top Panzio
414,Ures,MX,66.07,clear sky,29.4333,-110.4,Hacienda Quinta Napoles
415,Forio,IT,55.69,overcast clouds,40.7342,13.8646,Hotel Terme Providence
416,Avera,US,50.92,few clouds,33.194,-82.5271,
417,Gorgan,IR,44.56,mist,36.8387,54.4348,Khayyam Motel
418,Concepcion Del Oro,MX,49.51,few clouds,24.6333,-101.4167,Hotel Hacienda San Javier
419,Sungai Besar,MY,75.65,overcast clouds,3.6746,100.9867,NIDA Rooms Sabak Bernam Comfort
420,Tagusao,PH,77.47,overcast clouds,9.1924,117.8141,Green Villa beach resort
421,Kavieng,PG,81.21,broken clouds,-2.5744,150.7967,Nusa Island Retreat
422,Guilin,CN,43.74,light rain,25.2819,110.2864,Grand 0773 Hotel
424,Mozarlandia,BR,87.76,light rain,-14.7447,-50.5706,Hotel Santa Mônica
425,Homer,US,37.29,clear sky,59.6425,-151.5483,Beluga Lake Lodge
426,Sur,OM,73.22,clear sky,22.5667,59.5289,Sur Plaza Hotel
428,Khaniotis,GR,47.43,scattered clouds,39.9991,23.58,Haris Hotel
430,Marawi,PH,67.64,broken clouds,7.9986,124.2928,Derogongan Residence
431,Prince Rupert,CA,42.89,broken clouds,54.3161,-130.3201,Crest Hotel
434,Ilheus,BR,76.12,light rain,-14.7889,-39.0494,Barravento Hotel
437,Northam,GB,51.42,overcast clouds,51.0333,-4.2167,Durrant House Hotel
438,Asau,RO,37.96,broken clouds,46.4333,26.4,Casa Mika Ciobanus
442,Piacabucu,BR,84.34,overcast clouds,-10.4056,-36.4344,Piaçabuçu News
443,Kaeo,NZ,72.32,overcast clouds,-35.1,173.7833,Bushido Lodge
444,Cedar City,US,35.4,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
