City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
273,Saldanha,ZA,2022-02-01 05:16:40,-33.0117,17.9442,64.94,94,11,11.25
274,Lafia,NG,2022-02-01 05:16:41,8.4833,8.5167,66.76,19,33,2.01
275,San Patricio,US,2022-02-01 05:16:41,28.017,-97.5169,61.9,94,76,10.11
276,Pangody,RU,2022-02-01 05:16:41,65.85,74.4859,-4.27,99,97,6.22
277,Port Macquarie,AU,2022-02-01 05:17:30,-31.4333,152.9167,84.88,88,40,8.05
278,Pachmarhi,IN,2022-02-01 05:17:42,22.4667,78.4333,69.53,25,0,3.69
279,Airai,TL,2022-02-01 05:17:42,-8.9266,125.4092,71.1,67,56,6.91
280,Ponta Do Sol,PT,2022-02-01 05:17:43,32.6667,-17.1,66.13,30,9,13.85
281,Safaga,EG,2022-02-01 05:17:43,26.7292,33.9365,57.29,54,0,4.97
282,Honiara,SB,2022-02-01 05:17:44,-9.4333,159.95,83.71,79,83,4.45
283,Hirara,JP,2022-02-01 05:17:44,24.8,125.2833,70.07,56,75,13.8
284,Juliaca,PE,2022-02-01 05:17:44,-15.5,-70.1333,41.32,91,100,3.22
285,Hualmay,PE,2022-02-01 05:17:45,-11.0964,-77.6139,69.85,85,57,6.85
286,Lanzhou,CN,2022-02-01 05:17:45,36.0564,103.7922,31.28,47,99,3.85
287,Zhenlai,CN,2022-02-01 05:17:46,45.8495,123.2973,13.39,62,6,6.35
288,Brokopondo,SR,2022-02-01 05:17:46,4.75,-55.1667,74.66,89,100,7.52
289,Tukrah,LY,2022-02-01 05:17:47,32.5341,20.5791,53.04,66,44,21.16
290,Narsaq,GL,2022-02-01 05:17:46,60.9167,-46.05,25.02,97,94,2.53
291,Vila,PT,2022-02-01 05:17:47,42.0304,-8.1588,40.33,83,1,5.73
292,Kattivakkam,IN,2022-02-01 05:17:48,13.2167,80.3167,86.09,71,36,4.32
